DATE_TIME,USERS,CPU,MEM,DISK,PROCESS
06/27/2020 00:45,16,6.03,0.0731005,203982266,1644
06/27/2020 01:00,16,6.03,0.0732225,203969249,1645
06/27/2020 01:15,16,6.03,0.0738949,203977787,1659
06/27/2020 01:30,16,6.03,0.073526,204002190,1646
06/27/2020 01:45,16,6.03,0.073492,204003166,1640
06/27/2020 02:00,16,6.03,0.0734743,204005227,1641
06/27/2020 02:15,16,6.03,0.0734563,204014296,1640
06/27/2020 02:30,16,6.03,0.0734818,204044670,1640
06/27/2020 02:45,16,6.03,0.0735192,204053977,1639
06/27/2020 03:00,16,6.03,0.0734993,204055121,1640
06/27/2020 03:15,16,6.03,0.0734843,204062895,1645
06/27/2020 03:30,16,6.03,0.0734871,204063546,1640
06/27/2020 03:45,16,6.03,0.0734834,204064046,1640
06/27/2020 04:00,16,6.03,0.0734661,204065458,1640
06/27/2020 04:15,16,6.03,0.0734915,204065700,1640
06/27/2020 04:30,16,6.03,0.0734601,204066553,1640
06/27/2020 04:45,16,6.02,0.0722715,204067008,1637
06/27/2020 05:00,16,6.02,0.072061,204067572,1633
06/27/2020 05:15,16,6.02,0.0720359,204068288,1634
06/27/2020 05:30,16,6.02,0.0719859,204070527,1633
06/27/2020 05:45,16,6.02,0.072025,204070015,1634
06/27/2020 06:00,16,6.02,0.0719879,204070977,1634
06/27/2020 06:15,16,6.02,0.0720061,204071540,1633
06/27/2020 06:30,16,6.02,0.0719842,204072386,1633
06/27/2020 06:45,16,6.02,0.0720202,204072816,1633
06/27/2020 07:00,16,6.02,0.0720326,204080750,1633
06/27/2020 07:15,16,6.02,0.0720368,204081607,1635
06/27/2020 07:30,16,6.02,0.0720196,204081944,1633
06/27/2020 07:45,17,6.02,0.0720709,204082620,1638
06/27/2020 08:00,17,6.02,0.0720954,204082787,1637
06/27/2020 08:15,17,6.02,0.0720864,204083042,1639
06/27/2020 08:30,17,6.02,0.0720839,204083269,1637
06/27/2020 08:45,18,6.02,0.072169,204083709,1643
06/27/2020 09:00,19,6.02,0.0722845,204092572,1653
